epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,521.621,0.75629,0.67762,1.07119,0.89181,0.94484,0.94119,0.78301,0.64665,0.53331,0.99609,0.000494885,0.000494885,0.000494885
43,532.452,0.76719,0.68431,1.08342,0.90201,0.95569,0.94252,0.76193,0.75415,0.61053,1.03609,0.000486639,0.000486639,0.000486639
44,543.655,0.76516,0.67113,1.05969,0.89469,0.91402,0.91768,0.74902,0.71897,0.60751,1.0194,0.000478392,0.000478392,0.000478392
45,554.497,0.76029,0.67652,1.069,0.85429,0.90748,0.93807,0.79241,0.63776,0.57993,0.99159,0.000470145,0.000470145,0.000470145
46,565.092,0.75562,0.65503,1.0622,0.92514,0.93099,0.94927,0.78716,0.68701,0.5235,1.01818,0.000461898,0.000461898,0.000461898
47,575.906,0.76439,0.67463,1.07401,0.90078,0.91379,0.93956,0.79269,0.63125,0.56793,0.96454,0.000453652,0.000453652,0.000453652
48,587.097,0.78025,0.68527,1.07593,0.90029,0.94025,0.93865,0.79889,0.62624,0.5507,0.9689,0.000445405,0.000445405,0.000445405
49,597.939,0.78186,0.67666,1.08752,0.91165,0.91885,0.94142,0.78893,0.64978,0.57728,0.95161,0.000437158,0.000437158,0.000437158
50,609.027,0.76171,0.65481,1.07754,0.88918,0.88841,0.93302,0.78038,0.69478,0.63772,1.04623,0.000428912,0.000428912,0.000428912
51,620.215,0.73922,0.6337,1.0534,0.90236,0.92504,0.95788,0.8019,0.66723,0.52922,1.03005,0.000420665,0.000420665,0.000420665
52,630.707,0.71456,0.60959,1.04382,0.91641,0.9086,0.94948,0.79957,0.66339,0.52794,0.99352,0.000412418,0.000412418,0.000412418
53,642.2,0.71836,0.63248,1.05166,0.88993,0.91906,0.93903,0.79194,0.61129,0.50401,0.97147,0.000404172,0.000404172,0.000404172
54,652.682,0.70402,0.60245,1.04788,0.8895,0.95571,0.94408,0.78485,0.72068,0.52114,1.03882,0.000395925,0.000395925,0.000395925
55,659.056,0.71792,0.59563,1.03804,0.84385,0.91933,0.92243,0.77497,0.68678,0.6323,1.03344,0.000387678,0.000387678,0.000387678
56,665.563,0.68994,0.6082,1.0318,0.90589,0.91328,0.9442,0.78457,0.65779,0.53342,0.98868,0.000379431,0.000379431,0.000379431
57,671.962,0.68108,0.59849,1.01225,0.88258,0.93885,0.94603,0.80484,0.65196,0.48223,0.98598,0.000371185,0.000371185,0.000371185
58,678.494,0.70434,0.59077,1.04398,0.93724,0.9457,0.9536,0.80114,0.64517,0.4959,0.96943,0.000362938,0.000362938,0.000362938
59,685.124,0.69187,0.5745,1.03849,0.93442,0.94136,0.94503,0.80296,0.63251,0.45866,0.97441,0.000354691,0.000354691,0.000354691
60,691.695,0.68204,0.56266,1.02005,0.92355,0.93086,0.94629,0.79869,0.61238,0.50143,0.97736,0.000346445,0.000346445,0.000346445
61,698.136,0.66731,0.56159,1.02939,0.9059,0.9572,0.95584,0.8175,0.58716,0.47747,0.9517,0.000338198,0.000338198,0.000338198
62,704.792,0.66936,0.57781,1.02693,0.93042,0.94999,0.95799,0.81634,0.6,0.46374,0.95201,0.000329951,0.000329951,0.000329951
63,711.337,0.66931,0.57493,1.02696,0.8961,0.92923,0.93953,0.80124,0.58808,0.51516,0.96536,0.000321705,0.000321705,0.000321705
64,717.929,0.65756,0.55928,1.02115,0.89306,0.95647,0.94585,0.81579,0.60859,0.5122,0.97833,0.000313458,0.000313458,0.000313458
65,724.431,0.641,0.54406,1.01462,0.90483,0.92876,0.95899,0.82905,0.59985,0.49283,0.96409,0.000305211,0.000305211,0.000305211
66,731.079,0.62588,0.51826,0.99358,0.93934,0.94968,0.95849,0.8115,0.61179,0.46874,0.96195,0.000296964,0.000296964,0.000296964
67,737.599,0.61941,0.49897,0.99014,0.94815,0.94352,0.95377,0.82373,0.5687,0.4513,0.92182,0.000288718,0.000288718,0.000288718
68,744.233,0.63863,0.52174,1.00565,0.94554,0.93012,0.9546,0.80599,0.61079,0.46206,0.97587,0.000280471,0.000280471,0.000280471
69,750.766,0.65716,0.54045,1.01768,0.93862,0.95875,0.95567,0.81853,0.65433,0.47882,1.01152,0.000272224,0.000272224,0.000272224
